vtype,dayID,hourID,sourceTypeID,roadTypeID,hourVMTFraction
60,5,10,61.5,3.0,0.05119084
60,5,11,61.5,3.0,0.051985340000000005
60,5,12,61.5,3.0,0.055688879999999996
60,5,13,61.5,3.0,0.05824488
60,5,14,61.5,3.0,0.0591399
60,5,15,61.5,3.0,0.06347264
60,5,16,61.5,3.0,0.07164622
60,5,17,61.5,3.0,0.07713618
60,5,18,61.5,3.0,0.07665184
60,5,19,61.5,3.0,0.05935216
60,5,20,61.5,3.0,0.04422994
60,5,21,61.5,3.0,0.035559839999999995
60,5,22,61.5,3.0,0.03139152
60,5,23,61.5,3.0,0.02450598
60,5,24,61.5,3.0,0.017671159999999998
